id,year,number,title,citation,link,source
pub-015,2023,5,Deep Learning–Based Diagnostic System for Velopharyngeal Insufficiency Based on Videofluoroscopy in Patients With Repaired Cleft Palates,"Jeong Hyun Ha, Haeyun Lee, Seok Min Kwon, Hyunjin Joo, Guang Lin, Deok-Yeol Kim, Sukwha Kim, Jae Youn Hwang, Jee-Hyeok Chung, Hyoun-Joong Kong*, “Deep Learning–Based Diagnostic System for Velopharyngeal Insufficiency Based on Videofluoroscopy in Patients With Repaired Cleft Palates”, Journal of Craniofacial Surgery, 2023",https://scholar.google.com/scholar?q=Deep%20Learning%E2%80%93Based%20Diagnostic%20System%20for%20Velopharyngeal%20Insufficiency%20Based%20on%20Videofluoroscopy%20in%20Patients%20With%20Repaired%20Cleft%20Palates,MBIS Lab Publications page
pub-016,2023,6,New metric to evaluate cardiac anisotropic mechanics by directional high-frequency ultrasound-based transverse wave elastography,"Seungyeop Lee, Lucy Youngmin Eun*, Jae Youn Hwang, Jung-Sun Kim, Yongsoon Eun*, ""New metric to evaluate cardiac anisotropic mechanics by directional high-frequency ultrasound-based transverse wave elastography"", IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control, 2023",https://scholar.google.com/scholar?q=New%20metric%20to%20evaluate%20cardiac%20anisotropic%20mechanics%20by%20directional%20high-frequency%20ultrasound-based%20transverse%20wave%20elastography,MBIS Lab Publications page
pub-017,2022,1,Ex Vivo Evaluation of Mechanical Anisotropic Tissues with High-Frequency Ultrasound Shear Wave Elastography,"Seungyeop Lee, Lucy Youngmin Eun*, Jae Youn Hwang, and Yongsoon Eun* “Ex Vivo Evaluation of Mechanical Anisotropic Tissues with High-Frequency Ultrasound Shear Wave Elastography”, Sensors, 2022",https://scholar.google.com/scholar?q=Ex%20Vivo%20Evaluation%20of%20Mechanical%20Anisotropic%20Tissues%20with%20High-Frequency%20Ultrasound%20Shear%20Wave%20Elastography,MBIS Lab Publications page
pub-018,2022,2,USG-Net: Deep Learning-based Ultrasound Scanning-Guide for an Orthopedic Sonographer,"Kyungsu Lee⁺, Jaeseung Yang⁺, Moon Hwan Lee, Jin Ho Chang, Jun-Young Kim, and Jae Youn Hwang*, “USG-Net: Deep Learning-based Ultrasound Scanning-Guide for an Orthopedic Sonographer”, International Conference on Medical Image Computing and Computer Assisted Intervention (MICCAI), 2022",https://scholar.google.com/scholar?q=USG-Net%3A%20Deep%20Learning-based%20Ultrasound%20Scanning-Guide%20for%20an%20Orthopedic%20Sonographer,MBIS Lab Publications page
pub-019,2022,3,Explainable deep learning algorithm for distinguishing incomplete Kawasaki disease by coronary artery lesions on echocardiographic imaging,"Haeyun Lee, Yongsoon Eun, Jae Youn Hwang*, Lucy Youngmin Eun*, “Explainable deep learning algorithm for distinguishing incomplete Kawasaki disease by coronary artery lesions on echocardiographic imaging”, Computer Methods and Programs in Biomedicine, 2022",https://scholar.google.com/scholar?q=Explainable%20deep%20learning%20algorithm%20for%20distinguishing%20incomplete%20Kawasaki%20disease%20by%20coronary%20artery%20lesions%20on%20echocardiographic%20imaging,MBIS Lab Publications page
pub-020,2022,4,Speckle Reduction via Deep Content-Aware Image Prior for Precise Breast Tumor Segmentation in an Ultrasound Image,"Haeyun Lee⁺, Moon Hwan Lee⁺, Sangyeon Youn, Kyungsu Lee, Hah Min Lew, Jae Youn Hwang*, “Speckle Reduction via Deep Content-Aware Image Prior for Precise Breast Tumor Segmentation in an Ultrasound Image”, IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control, 2022",https://scholar.google.com/scholar?q=Speckle%20Reduction%20via%20Deep%20Content-Aware%20Image%20Prior%20for%20Precise%20Breast%20Tumor%20Segmentation%20in%20an%20Ultrasound%20Image,MBIS Lab Publications page
pub-021,2022,5,A deep learning model for predicting a difficult laryngoscopy based on a cervical spine lateral X-ray image,"Kyungsu Lee⁺, Hye-Yeon Cho⁺, Hyun-Lim Yang, Chul-Woo Jung, Hee-Pyoung Park, Jae Youn Hwang, Hyoun-Joong Kong*, and Hyung-Chul Lee*, “A deep learning model for predicting a difficult laryngoscopy based on a cervical spine lateral X-ray image”, Anaesthesia, 2022",https://scholar.google.com/scholar?q=A%20deep%20learning%20model%20for%20predicting%20a%20difficult%20laryngoscopy%20based%20on%20a%20cervical%20spine%20lateral%20X-ray%20image,MBIS Lab Publications page
pub-022,2022,6,"Kyungsu Lee, T. C. Cavalcanti, Sewoong Kim, Hah Min Lew, Dae Hun Suh, Dong Hun Lee, and Jae Youn Hwang*, “Mult","Kyungsu Lee, T. C. Cavalcanti, Sewoong Kim, Hah Min Lew, Dae Hun Suh, Dong Hun Lee, and Jae Youn Hwang*, “Multi-task and few-shot learning-based fully automatic deep learning platform for mobile diagnosis of skin diseases“, IEEE Journal of Biomedical and Health Informatics, 2022",https://scholar.google.com/scholar?q=Kyungsu%20Lee%2C%20T.%20C.%20Cavalcanti%2C%20Sewoong%20Kim%2C%20Hah%20Min%20Lew%2C%20Dae%20Hun%20Suh%2C%20Dong%20Hun%20Lee%2C%20and%20Jae%20Youn%20Hwang%2A%2C%20%E2%80%9CMult,MBIS Lab Publications page
pub-023,2022,7,"Haemin Kim, Sangyeon Youn, Jinwoo Kim, Sunghun Park, Moon Hwan Lee, Jae Youn Hwang* and Jin Ho Chang*, “Deep l","Haemin Kim, Sangyeon Youn, Jinwoo Kim, Sunghun Park, Moon Hwan Lee, Jae Youn Hwang* and Jin Ho Chang*, “Deep laser microscopy using optical clearing by ultrasound-induced gas bubbles“, Nature Photonics, 2022",https://scholar.google.com/scholar?q=Haemin%20Kim%2C%20Sangyeon%20Youn%2C%20Jinwoo%20Kim%2C%20Sunghun%20Park%2C%20Moon%20Hwan%20Lee%2C%20Jae%20Youn%20Hwang%2A%20and%20Jin%20Ho%20Chang%2A%2C%20%E2%80%9CDeep%20l,MBIS Lab Publications page
pub-024,2022,8,"Moon Hwan Lee, Hah Min Lew, Sangyeon Youn, Tae Kim, Jae Youn Hwang*, “Deep learning-based framework for fast a","Moon Hwan Lee, Hah Min Lew, Sangyeon Youn, Tae Kim, Jae Youn Hwang*, “Deep learning-based framework for fast and accurate acoustic hologram generation“, IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control, 2022",https://scholar.google.com/scholar?q=Moon%20Hwan%20Lee%2C%20Hah%20Min%20Lew%2C%20Sangyeon%20Youn%2C%20Tae%20Kim%2C%20Jae%20Youn%20Hwang%2A%2C%20%E2%80%9CDeep%20learning-based%20framework%20for%20fast%20a,MBIS Lab Publications page
