date,image,source,speaker,summary,title,topic
2025-07-29,images/blog/ai-seminar/seong-hyun-kim-2025-07-29.jpg,https://mbis.dgist.ac.kr/HOME/mbis/sub.htm?hmode=p&mv_data=aWR4PTExMCZzdGFydFBhZ2U9MyZsaXN0Tm89MiZ0YWJsZT1leF9iYnNfZGF0YV9tYmlzJm5hdl9jb2RlPW1iaTE3NTM3ODgyOTMmY29kZT1mUnpQdDZwUU9XQ1Qmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mb3JkZXJfbGlzdD0mbGlzdF9zY2FsZT0mdmlld19sZXZlbD0mdmlld19jYXRlPSZ2aWV3X2NhdGUyPQ,Seong Hyun Kim,AI seminar by Seong Hyun Kim.,"25.07.29. Seong Hyun Kim, Simpler Diffusion",Simpler Diffusion
2025-07-29,images/blog/ai-seminar/priyanka-2025-07-15.jpg,https://mbis.dgist.ac.kr/HOME/mbis/sub.htm?hmode=p&mv_data=aWR4PTExMCZzdGFydFBhZ2U9MyZsaXN0Tm89MiZ0YWJsZT1leF9iYnNfZGF0YV9tYmlzJm5hdl9jb2RlPW1iaTE3NTM3ODgyOTMmY29kZT1mUnpQdDZwUU9XQ1Qmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mb3JkZXJfbGlzdD0mbGlzdF9zY2FsZT0mdmlld19sZXZlbD0mdmlld19jYXRlPSZ2aWV3X2NhdGUyPQ,Priyanka,AI seminar by Priyanka on Vision Transformers and Self-Supervised Learning.,"25.07.15. Priyanka, Vision Transformers & Self Supervised Learning",Vision Transformers & Self Supervised Learning
